Province,District,Year,Commodity,Soil_pH,Soil_N_index,Soil_P_index,Soil_K_index,Area_Ha,Target_Yield_KgHa,Pupuk_Urea_kgHa,Pupuk_SP36_kgHa,Pupuk_KCl_kgHa
DKI Jakarta,Kep. Seribu,2020,Bawang Merah,5.82,3,3,3,3.29,10997.7,246.8,124.2,92.5
Jawa Tengah,Brebes,2022,Tebu,5.1,1,3,2,77.38,52922.8,247.3,124.5,99.4
Kalimantan Selatan,Barito Kuala,2022,Cabai Rawit,6.2,2,3,1,3.67,9777.9,255.6,135.6,80.7
Gorontalo,Gorontalo,2018,Padi,6.7,1,3,4,8.58,4825.2,284.5,150.0,82.9
Kalimantan Utara,Nunukan,2020,Padi,5.68,2,1,2,32.74,6234.0,234.3,128.0,93.1
Papua Barat,Fakfak,2022,Jagung,5.2,3,4,1,80.0,7237.5,260.7,119.8,82.7
Sulawesi Tengah,Parigi Moutong,2021,Jagung,6.59,3,2,3,13.68,7966.0,223.5,155.9,76.7
Kalimantan Barat,Landak,2024,Bawang Merah,5.35,4,3,1,11.66,12774.5,258.7,112.9,90.3
Bengkulu,Rejang Lebong,2024,Jagung,5.06,2,2,1,13.42,7203.7,288.2,128.5,84.0
Kalimantan Tengah,Kotawaringin Barat,2022,Tebu,4.98,3,1,3,42.82,73451.1,226.6,133.8,76.4
Sulawesi Tengah,Poso,2024,Padi,5.94,4,1,4,18.41,4597.4,235.6,137.1,72.0
Jawa Timur,Kediri,2022,Padi,6.54,4,2,3,13.33,6207.4,252.2,95.5,61.7
Kepulauan Riau,Natuna,2025,Cabai Rawit,4.2,2,2,4,2.99,5811.6,255.9,131.3,87.7
Nusa Tenggara Timur,Kupang,2022,Bawang Merah,6.37,3,3,3,12.77,7761.5,253.0,106.2,73.5
Papua Barat Daya,Tambrauw,2021,Jagung,4.44,2,2,2,14.87,6285.9,283.1,139.5,74.8
Gorontalo,Boalemo,2025,Tebu,6.11,2,1,1,21.24,78078.1,269.1,125.1,80.5
Kalimantan Barat,Landak,2020,Tebu,4.52,3,3,2,15.61,82703.2,251.4,122.5,90.2
Bali,Karangasem,2025,Bawang Merah,6.14,4,3,2,3.09,12111.6,221.1,111.5,81.8
Jawa Barat,Tasikmalaya,2021,Tebu,6.36,2,3,5,36.36,84662.6,262.5,134.3,94.4
Lampung,Pringsewu,2025,Cabai Rawit,5.34,3,1,3,3.24,6230.1,257.9,94.2,50.0
Gorontalo,Boalemo,2019,Bawang Merah,6.49,3,2,3,2.13,9525.5,243.8,102.9,67.1
Sulawesi Utara,Bolaang Mongondow,2022,Tebu,4.35,2,3,2,47.78,94298.9,259.5,121.1,75.1
Sumatera Barat,Agam,2025,Bawang Merah,5.0,3,2,3,2.53,10565.9,275.0,134.0,74.1
Riau,Rokan Hilir,2021,Tebu,5.36,3,3,3,90.79,93138.1,212.8,139.9,86.8
Papua Selatan,Boven Digoel,2023,Cabai Rawit,4.29,2,2,4,4.2,11005.0,235.0,126.7,65.6
Sulawesi Utara,Bitung,2023,Jagung,5.79,3,1,3,14.3,3898.6,233.7,135.2,96.6
Papua,Keerom,2018,Cabai Rawit,5.14,2,3,3,2.96,11452.7,254.5,122.2,67.2
Kalimantan Tengah,Kapuas,2020,Padi,4.83,1,2,1,13.64,6033.1,252.9,109.9,83.7
Papua Selatan,Mappi,2018,Jagung,5.58,2,4,4,22.35,9222.7,229.8,109.9,82.1
Sulawesi Selatan,Makassar,2021,Cabai Rawit,6.25,3,3,3,3.43,8285.7,270.3,116.7,85.1
Nusa Tenggara Timur,Manggarai,2020,Tebu,5.84,2,3,3,89.88,57517.6,260.0,116.4,94.3
Bangka Belitung,Bangka Tengah,2019,Padi,5.58,3,3,3,7.64,7393.5,261.6,107.6,88.8
Kalimantan Utara,Tana Tidung,2021,Bawang Merah,5.27,1,3,2,5.62,11713.1,248.7,94.2,85.8
Papua Tengah,Paniai,2024,Padi,4.2,1,3,2,12.77,5606.7,226.7,90.6,68.8
Kalimantan Utara,Bulungan,2022,Cabai Rawit,5.24,2,3,2,14.93,6996.6,285.0,128.2,79.0
Gorontalo,Gorontalo,2025,Tebu,5.94,4,3,1,15.29,90113.3,233.4,110.8,88.9
Papua,Sarmi,2022,Jagung,4.7,3,3,2,15.3,7949.5,256.8,121.3,76.9
Kalimantan Timur,Kutai Timur,2022,Padi,4.4,3,2,3,33.63,5684.1,252.6,108.9,86.1
Jawa Barat,Sukabumi,2024,Cabai Rawit,6.51,3,3,3,10.27,6229.0,240.5,117.6,87.2
Maluku Utara,Halmahera Selatan,2018,Jagung,5.29,4,3,2,18.07,6741.6,268.0,119.5,80.0
Jambi,Sarolangun,2018,Tebu,4.51,2,1,2,52.21,77756.8,275.1,115.6,89.7
Jawa Timur,Bojonegoro,2018,Cabai Rawit,6.19,2,1,1,2.45,8891.0,232.7,133.6,83.0
Papua Barat,Fakfak,2021,Cabai Rawit,6.89,1,3,2,6.91,9374.6,252.9,105.7,87.0
Lampung,Lampung Tengah,2025,Bawang Merah,6.43,3,1,1,1.34,13292.3,243.7,115.5,83.1
Sulawesi Tengah,Poso,2021,Cabai Rawit,6.35,2,3,3,1.22,8098.5,255.1,117.3,73.8
Sumatera Barat,Tanah Datar,2023,Padi,5.17,3,2,2,10.56,4614.4,244.3,131.4,83.1
Nusa Tenggara Timur,Alor,2019,Bawang Merah,5.83,2,2,3,4.11,10098.6,247.7,114.8,91.3
Bali,Karangasem,2020,Padi,5.93,4,1,3,20.49,5331.5,241.3,111.9,62.0
Nusa Tenggara Barat,Dompu,2020,Tebu,5.65,2,1,3,64.0,70799.5,287.4,116.4,78.5
Kalimantan Utara,Malinau,2023,Padi,5.62,2,1,2,12.72,6397.8,252.3,127.3,78.3
Kalimantan Timur,Samarinda,2021,Padi,4.54,3,4,1,25.86,6783.8,261.5,100.5,104.2
Bangka Belitung,Bangka,2022,Padi,6.47,3,3,1,31.64,7482.1,254.9,112.2,90.3
Sulawesi Tenggara,Kolaka,2021,Cabai Rawit,4.55,1,2,3,9.52,9513.6,265.8,119.5,82.1
Bangka Belitung,Belitung Timur,2022,Padi,5.28,4,2,2,16.32,6156.6,261.6,129.0,91.1
Jawa Barat,Bandung,2020,Jagung,5.99,3,2,1,20.43,5180.8,248.3,130.7,77.1
Sulawesi Barat,Mamasa,2022,Jagung,6.03,3,3,3,16.24,6030.6,282.6,138.7,89.3
Sulawesi Tengah,Parigi Moutong,2020,Tebu,6.38,3,2,2,113.32,60356.5,248.4,116.9,73.8
Sulawesi Tengah,Palu,2018,Cabai Rawit,5.8,1,3,2,6.05,8293.8,267.9,138.8,55.4
Papua,Yahukimo,2024,Padi,4.97,1,3,3,28.23,6070.2,232.7,115.2,77.0
Jawa Timur,Madiun,2023,Cabai Rawit,5.31,2,3,4,8.39,9769.9,274.2,132.9,72.3
Lampung,Lampung Tengah,2018,Bawang Merah,5.24,2,3,1,5.11,12165.9,223.9,120.5,67.9
Papua Pegunungan,Lanny Jaya,2023,Bawang Merah,4.68,5,4,2,8.6,10230.8,279.6,120.8,89.4
Kalimantan Barat,Sambas,2019,Tebu,4.96,1,4,3,12.85,68587.3,262.7,104.4,92.8
Maluku Utara,Ternate,2023,Bawang Merah,4.81,3,2,2,4.18,11677.6,240.3,133.7,64.7
Maluku,Buru,2024,Jagung,4.35,4,2,5,42.94,6591.7,265.4,150.4,72.1
Papua Tengah,Intan Jaya,2025,Tebu,4.92,1,1,2,81.31,75374.9,252.9,95.2,73.9
Papua Selatan,Asmat,2022,Tebu,6.39,5,2,2,8.12,72009.3,260.5,129.8,69.5
Maluku,Buru,2025,Bawang Merah,5.87,2,2,2,1.99,12601.3,274.8,99.6,86.1
Kalimantan Timur,Kutai Barat,2018,Cabai Rawit,4.2,3,3,3,2.11,9733.0,252.6,94.7,69.4
Bangka Belitung,Pangkal Pinang,2023,Jagung,6.31,3,1,1,13.94,6563.2,269.7,124.2,78.0
Lampung,Lampung Tengah,2024,Padi,4.83,3,2,3,11.96,6067.7,307.2,105.0,83.6
Sumatera Utara,Deli Serdang,2020,Bawang Merah,5.19,3,2,3,3.8,11571.1,285.3,129.4,90.2
Bangka Belitung,Pangkal Pinang,2019,Jagung,6.14,4,3,2,9.42,7781.5,259.5,141.4,90.2
Sulawesi Barat,Polewali Mandar,2021,Tebu,5.76,3,2,1,60.11,67711.0,266.8,112.8,85.6
DI Yogyakarta,Gunung Kidul,2020,Bawang Merah,6.02,3,2,3,8.02,12228.7,227.4,142.9,73.9
Sumatera Barat,Pasaman,2020,Padi,5.11,1,3,2,70.0,5774.9,266.0,138.7,92.5
Kalimantan Utara,Nunukan,2022,Padi,4.63,2,2,3,56.29,4483.9,245.4,133.9,73.1
Kalimantan Utara,Tarakan,2025,Bawang Merah,4.49,3,2,3,7.11,8586.2,246.4,147.3,90.7
Bangka Belitung,Bangka Tengah,2023,Tebu,4.34,2,4,3,66.21,66338.0,252.5,148.1,78.8
Papua Tengah,Intan Jaya,2023,Bawang Merah,4.83,3,2,2,5.23,12922.3,243.2,122.0,82.4
Nusa Tenggara Timur,Sikka,2024,Cabai Rawit,6.28,1,3,1,8.19,6738.2,230.8,111.4,81.8
Maluku Utara,Kep. Sula,2020,Jagung,5.25,4,2,2,43.18,6117.2,239.7,98.6,80.4
Banten,Tangerang Selatan,2019,Jagung,6.2,3,3,3,14.27,6851.3,272.3,80.0,81.4
Sulawesi Selatan,Barru,2020,Tebu,7.02,2,3,3,35.88,67017.1,215.8,134.4,74.0
Sumatera Barat,Padang,2019,Bawang Merah,5.49,1,3,4,15.0,13234.3,247.5,84.6,92.2
Papua Selatan,Merauke,2018,Cabai Rawit,4.96,2,2,1,4.89,8896.6,269.3,115.6,90.8
Papua,Mamberamo Raya,2023,Jagung,5.65,3,4,1,11.82,6340.7,243.4,123.9,70.1
Bali,Bangli,2025,Cabai Rawit,4.93,3,3,2,4.41,11844.4,272.3,104.5,74.2
DKI Jakarta,Kep. Seribu,2018,Tebu,5.66,2,1,3,60.66,58698.0,290.0,106.5,82.8
Sumatera Barat,Solok,2018,Bawang Merah,6.33,4,3,3,0.8,8862.1,273.4,112.0,73.7
Jawa Barat,Cirebon,2022,Jagung,6.72,2,5,3,9.5,5567.2,253.6,114.4,65.8
Papua Barat Daya,Maybrat,2018,Bawang Merah,5.54,1,2,3,1.64,9325.1,248.6,145.3,81.1
Banten,Lebak,2023,Tebu,7.3,1,2,3,34.41,67268.2,275.8,115.6,99.3
Jambi,Tanjung Jabung Timur,2020,Jagung,6.17,3,4,2,22.48,8044.3,257.6,120.7,73.7
Kepulauan Riau,Natuna,2022,Jagung,5.37,1,4,2,24.29,4848.7,236.3,138.5,81.9
DI Yogyakarta,Yogyakarta,2022,Tebu,5.83,3,3,1,34.66,70721.8,248.0,133.1,77.1
Maluku,Ambon,2025,Bawang Merah,5.9,2,3,2,4.71,12367.9,230.7,119.9,80.5
Jawa Barat,Subang,2019,Padi,5.43,3,2,3,27.92,5221.5,241.5,122.7,91.4
Bangka Belitung,Pangkal Pinang,2025,Cabai Rawit,4.2,2,1,4,3.79,9254.5,266.4,142.8,68.4
Kepulauan Riau,Lingga,2025,Tebu,4.76,2,3,2,124.51,86515.5,263.8,119.0,89.8
Sulawesi Barat,Majene,2022,Tebu,5.07,2,3,1,19.06,55302.2,258.0,125.6,83.2
Sumatera Utara,Simalungun,2025,Padi,6.35,3,2,4,25.22,5178.5,252.1,138.0,71.9
Jambi,Tanjung Jabung Timur,2018,Cabai Rawit,5.23,3,4,5,6.02,9166.5,242.6,131.5,84.2
Bali,Denpasar,2020,Bawang Merah,5.56,1,4,4,5.23,8588.7,267.1,116.9,71.6
Papua,Yahukimo,2025,Bawang Merah,5.24,2,3,3,3.95,9565.8,261.4,119.6,63.1
Sumatera Utara,Deli Serdang,2018,Jagung,6.07,1,2,2,24.6,8205.7,255.8,114.2,78.6
Lampung,Lampung Tengah,2024,Jagung,5.76,3,2,2,43.95,4893.0,245.7,126.3,74.3
Maluku,Ambon,2025,Tebu,4.64,4,3,4,37.05,68032.4,198.6,113.1,86.4
DKI Jakarta,Kep. Seribu,2024,Jagung,5.55,3,4,3,22.74,5750.7,262.7,138.0,78.4
DI Yogyakarta,Bantul,2019,Tebu,5.71,3,2,2,29.48,98694.1,237.1,135.1,83.6
Sulawesi Tengah,Poso,2022,Cabai Rawit,6.37,2,1,1,1.35,9959.6,264.6,95.0,76.9
Maluku Utara,Kep. Sula,2024,Cabai Rawit,6.45,2,1,2,6.58,10205.6,250.0,113.5,77.2
Nusa Tenggara Barat,Dompu,2024,Cabai Rawit,6.88,3,1,2,1.88,11303.9,231.0,127.6,61.4
Sulawesi Tengah,Morowali,2022,Tebu,6.32,2,3,4,55.27,73993.7,259.6,139.6,75.8
Kalimantan Utara,Malinau,2024,Bawang Merah,4.29,2,1,3,1.62,7635.0,262.4,109.6,95.3
Sulawesi Tenggara,Konawe Selatan,2018,Tebu,5.6,2,1,2,32.4,58470.6,270.9,134.1,80.8
Nusa Tenggara Timur,Kupang,2025,Cabai Rawit,6.17,3,2,2,2.34,11178.9,223.6,136.4,76.9
Bengkulu,Lebong,2025,Cabai Rawit,5.86,4,3,1,2.99,6419.0,268.0,123.0,73.7
DI Yogyakarta,Yogyakarta,2025,Bawang Merah,5.97,4,2,3,4.41,9501.2,234.5,92.4,85.3
Sulawesi Tengah,Parigi Moutong,2025,Tebu,5.57,2,2,3,23.01,67656.5,266.6,158.7,93.4
Riau,Siak,2018,Padi,5.17,2,2,3,11.99,4527.0,251.5,106.6,79.5
Lampung,Lampung Selatan,2023,Tebu,5.59,1,2,3,15.12,85822.8,265.2,138.1,88.7
Maluku Utara,Ternate,2021,Cabai Rawit,4.91,2,2,2,3.18,9591.4,229.0,107.6,73.3
Sumatera Utara,Simalungun,2023,Tebu,4.65,2,3,2,51.85,90239.2,237.4,114.3,76.6
Jawa Barat,Garut,2023,Jagung,6.9,3,3,4,6.09,5755.6,197.4,115.6,88.5
Jawa Timur,Bojonegoro,2019,Tebu,5.14,3,2,2,32.29,56992.6,256.4,157.9,72.9
Banten,Tangerang,2022,Cabai Rawit,5.77,3,3,4,7.05,8940.9,214.9,122.9,84.9
Sumatera Utara,Asahan,2018,Bawang Merah,6.0,2,2,3,2.49,10602.1,236.6,134.2,75.5
Sulawesi Selatan,Bone,2025,Cabai Rawit,6.13,1,1,3,5.44,9629.9,269.8,102.2,66.4
Maluku,Ambon,2025,Cabai Rawit,5.57,3,4,3,2.12,9712.4,261.3,98.8,99.2
DI Yogyakarta,Bantul,2021,Padi,6.02,3,3,3,16.04,5024.1,250.6,106.5,84.1
Jawa Tengah,Semarang,2021,Padi,5.7,2,4,4,19.5,6557.8,271.5,131.1,82.4
Sumatera Utara,Asahan,2024,Padi,5.63,2,1,3,14.23,6325.7,237.8,110.5,76.8
Bangka Belitung,Bangka Selatan,2019,Bawang Merah,6.96,2,3,1,13.65,11692.1,201.6,128.3,69.4
Bali,Tabanan,2025,Tebu,5.57,1,2,1,30.43,77228.4,271.2,133.1,82.9
Nusa Tenggara Barat,Sumbawa,2019,Jagung,6.61,4,1,4,7.71,9068.7,231.9,103.5,92.8
DI Yogyakarta,Sleman,2019,Jagung,6.18,4,3,1,27.22,7304.6,242.2,108.6,90.8
Sulawesi Utara,Tomohon,2023,Padi,5.38,1,5,2,17.77,5959.8,269.9,139.5,82.8
Sumatera Utara,Serdang Bedagai,2022,Cabai Rawit,4.95,2,3,3,6.09,11630.2,208.7,115.2,75.0
Maluku,Seram Bagian Barat,2020,Tebu,5.88,3,2,5,45.8,57626.8,271.9,124.6,63.7
Sulawesi Tengah,Poso,2024,Jagung,5.11,3,2,2,11.84,5305.1,232.4,95.4,82.1
Kalimantan Selatan,Banjar,2022,Tebu,4.2,3,2,2,32.24,83510.3,246.2,102.3,76.6
Papua Pegunungan,Lanny Jaya,2022,Cabai Rawit,4.24,3,3,3,6.79,6477.7,214.5,109.8,86.3
Jambi,Muaro Jambi,2018,Jagung,5.72,1,2,1,9.4,7952.8,230.6,97.3,82.2
Aceh,Pidie,2021,Cabai Rawit,6.22,1,2,3,4.45,8965.6,239.0,105.9,78.5
Sulawesi Tenggara,Konawe Selatan,2019,Tebu,6.72,3,2,2,15.99,91137.3,245.0,93.1,78.0
Jawa Tengah,Grobogan,2020,Bawang Merah,6.0,3,2,4,4.47,13193.2,244.7,114.7,79.8
Papua Selatan,Asmat,2018,Tebu,4.84,2,4,2,17.38,50225.3,268.1,103.7,101.6
Sulawesi Barat,Mamasa,2020,Cabai Rawit,4.49,4,3,3,3.15,10566.8,264.8,129.6,94.2
Jawa Tengah,Boyolali,2022,Padi,5.51,3,3,2,8.72,5456.3,273.9,83.6,90.0
Sumatera Selatan,Ogan Ilir,2023,Tebu,5.14,3,3,2,53.74,59081.9,210.0,108.7,76.8
Sulawesi Selatan,Bone,2019,Jagung,4.94,1,3,3,8.04,8099.0,229.5,107.3,76.5
Papua,Keerom,2021,Cabai Rawit,5.85,2,2,4,2.46,8171.6,256.4,116.9,72.3
Papua Barat Daya,Sorong Selatan,2024,Bawang Merah,5.05,3,3,3,2.0,10573.8,220.5,115.5,63.1
Riau,Kampar,2018,Padi,6.08,5,5,1,14.38,7393.2,243.2,113.0,88.1
Kalimantan Utara,Malinau,2021,Bawang Merah,4.34,2,3,2,3.86,11528.8,264.0,109.2,77.6
Sulawesi Tenggara,Muna,2022,Jagung,6.82,2,2,3,5.14,8727.1,249.8,114.5,60.6
Aceh,Aceh Utara,2023,Padi,4.5,4,3,3,39.07,4582.9,261.6,150.0,75.9
Bangka Belitung,Pangkal Pinang,2025,Cabai Rawit,6.39,3,3,1,4.98,5692.7,261.5,136.6,77.0
Bangka Belitung,Bangka Tengah,2025,Bawang Merah,5.08,3,2,1,3.55,12876.9,242.8,146.6,68.8
Kalimantan Timur,Balikpapan,2024,Jagung,4.84,2,4,4,50.27,6731.7,250.5,145.9,84.0
Kepulauan Riau,Tanjung Pinang,2018,Cabai Rawit,5.17,4,2,2,3.35,6952.6,243.3,127.3,90.7
Papua Barat,Kaimana,2020,Tebu,4.21,2,3,4,14.53,65678.6,274.4,123.7,88.7
Jawa Tengah,Semarang,2022,Tebu,6.24,2,3,3,49.55,67045.8,220.2,136.8,74.9
Kalimantan Tengah,Pulang Pisau,2022,Tebu,5.14,4,4,3,19.93,50524.7,239.5,107.1,96.0
Sulawesi Tenggara,Baubau,2023,Bawang Merah,6.13,1,2,3,2.49,11801.9,246.8,114.1,97.2
Jawa Timur,Lamongan,2024,Tebu,6.49,2,2,4,40.86,91806.8,271.3,134.9,80.9
Sumatera Barat,Agam,2019,Bawang Merah,5.65,4,3,2,1.2,12540.8,232.6,94.5,86.2
Nusa Tenggara Barat,Mataram,2024,Bawang Merah,6.8,3,3,1,2.92,10004.5,235.1,102.4,95.1
Kalimantan Timur,Samarinda,2018,Bawang Merah,4.22,3,2,3,6.76,9439.9,247.8,99.8,66.2
Sulawesi Tengah,Sigi,2022,Tebu,4.58,2,2,1,42.72,97270.6,217.8,112.0,91.0
Sumatera Barat,Solok,2018,Padi,6.83,2,2,3,25.36,6076.9,245.9,109.5,68.7
Kalimantan Selatan,Banjarbaru,2020,Padi,4.3,1,3,3,12.16,5536.3,251.1,104.0,81.2
DKI Jakarta,Jakarta Timur,2023,Padi,7.45,4,2,3,13.17,5517.7,259.1,138.5,74.6
Banten,Tangerang,2018,Jagung,6.13,1,3,2,13.4,5631.5,267.1,136.3,71.6
Bengkulu,Rejang Lebong,2020,Jagung,6.37,1,4,3,21.63,7539.4,271.4,120.7,83.4
Sulawesi Tenggara,Kolaka,2020,Bawang Merah,6.21,1,5,2,7.62,8451.7,247.4,108.7,76.8
Kalimantan Utara,Malinau,2025,Tebu,5.22,2,3,2,21.87,90810.4,233.5,105.9,92.6
Papua Barat,Teluk Wondama,2019,Tebu,5.25,2,3,3,15.94,66543.0,239.1,106.1,85.9
Maluku Utara,Halmahera Tengah,2022,Padi,5.23,4,2,4,19.5,4353.7,272.4,131.0,74.0
Kalimantan Utara,Malinau,2023,Padi,5.5,4,4,3,8.1,5016.6,249.3,142.7,78.7
Sulawesi Tenggara,Baubau,2018,Jagung,6.14,3,3,2,7.81,7664.0,246.8,113.3,70.2
Kalimantan Tengah,Kotawaringin Timur,2022,Jagung,5.61,3,2,2,19.62,7438.2,284.7,110.1,86.5
DI Yogyakarta,Kulon Progo,2020,Tebu,5.38,3,1,2,42.22,73780.5,248.1,116.0,59.6
Bali,Bangli,2024,Bawang Merah,5.0,1,3,3,2.93,13837.8,244.4,80.0,77.7
Papua Tengah,Intan Jaya,2025,Jagung,5.21,2,4,3,20.46,8168.8,239.9,116.8,84.0
Kalimantan Tengah,Kapuas,2022,Padi,5.34,3,2,2,22.04,4383.1,250.4,104.1,65.0
Sulawesi Barat,Mamuju Tengah,2018,Padi,6.33,3,1,3,21.29,6872.4,268.0,132.8,96.8
Nusa Tenggara Timur,Manggarai,2023,Bawang Merah,7.22,3,3,2,3.16,8704.3,259.3,121.2,83.2
Papua Selatan,Boven Digoel,2018,Bawang Merah,4.64,3,4,2,2.75,9322.8,251.5,102.8,85.6
Papua Tengah,Paniai,2022,Jagung,5.14,1,3,2,45.24,4608.8,232.8,116.5,79.9
Kalimantan Timur,Kutai Kartanegara,2021,Cabai Rawit,5.09,2,1,3,3.53,6163.8,228.6,109.4,78.5
Bangka Belitung,Belitung,2025,Tebu,5.7,2,2,3,35.65,92980.2,261.5,151.0,77.6
Bengkulu,Kepahiang,2021,Tebu,5.13,3,3,1,93.21,88663.8,262.8,135.8,81.9
Sulawesi Utara,Bolaang Mongondow,2025,Tebu,5.24,3,1,1,19.75,64100.1,241.8,116.0,88.0
Jawa Tengah,Grobogan,2019,Padi,5.94,2,2,1,70.0,5938.1,282.8,135.2,70.6
Maluku,Ambon,2022,Tebu,5.41,3,2,3,22.96,75386.3,249.8,113.8,76.3
Papua Tengah,Dogiyai,2024,Bawang Merah,5.04,2,3,2,5.99,10119.5,233.1,116.5,81.8
Kepulauan Riau,Bintan,2021,Jagung,5.48,4,3,5,9.77,6289.3,249.7,109.1,78.9
Bali,Badung,2025,Cabai Rawit,6.53,2,1,3,7.56,8435.7,218.6,119.8,70.1
Riau,Kampar,2025,Bawang Merah,6.26,1,2,3,4.97,12367.4,239.7,112.0,85.7
Sulawesi Selatan,Wajo,2020,Cabai Rawit,5.78,1,2,3,1.56,8075.2,263.8,120.8,89.1
Jawa Timur,Malang,2018,Jagung,5.8,4,1,3,15.76,4230.7,271.5,129.7,66.8
Bengkulu,Lebong,2024,Cabai Rawit,4.87,1,2,2,3.35,6260.7,233.3,145.6,92.5
DI Yogyakarta,Sleman,2020,Bawang Merah,5.84,1,1,3,2.07,12560.6,226.8,116.4,86.0
Sumatera Selatan,Palembang,2021,Jagung,5.58,3,2,3,21.12,5232.4,230.3,135.8,101.3
Sulawesi Tengah,Poso,2023,Bawang Merah,5.17,3,5,1,1.24,13841.1,268.9,123.1,80.1
Riau,Rokan Hilir,2022,Cabai Rawit,5.3,2,2,2,3.54,7646.9,243.2,113.4,87.5
Kalimantan Barat,Kubu Raya,2025,Bawang Merah,6.54,3,3,2,2.28,13461.2,245.2,114.6,77.6
Kalimantan Selatan,Barito Kuala,2019,Tebu,4.27,2,3,2,39.74,78722.3,249.8,130.8,76.9
Papua Barat,Teluk Wondama,2019,Bawang Merah,4.36,4,3,4,11.72,11427.9,269.6,113.2,64.3
Bengkulu,Lebong,2020,Cabai Rawit,6.03,2,2,4,3.94,10907.4,247.5,138.4,66.7
Kepulauan Riau,Batam,2025,Cabai Rawit,5.93,1,3,2,4.17,7649.1,214.1,145.0,80.8
Kalimantan Utara,Tarakan,2024,Bawang Merah,4.92,3,4,2,3.1,10631.2,193.7,123.7,70.9
Papua Pegunungan,Nduga,2021,Tebu,6.02,1,4,2,84.26,97946.1,270.3,114.2,83.1
Nusa Tenggara Barat,Dompu,2022,Cabai Rawit,6.89,4,2,3,1.91,8374.5,243.4,130.9,85.6
Riau,Rokan Hilir,2018,Cabai Rawit,5.18,2,2,3,5.61,10722.6,249.2,122.8,77.4
Kalimantan Selatan,Tanah Laut,2025,Jagung,4.2,2,4,2,51.97,8505.5,281.0,107.6,76.1
Jambi,Sarolangun,2024,Cabai Rawit,6.26,4,4,3,2.83,6925.0,261.5,119.5,88.8
Kepulauan Riau,Bintan,2022,Bawang Merah,6.27,1,4,3,6.75,11678.4,222.3,133.3,90.5
Kalimantan Tengah,Pulang Pisau,2024,Padi,4.56,2,3,2,38.21,6477.2,252.8,119.6,76.6
Sumatera Selatan,Ogan Komering Ulu,2025,Padi,4.53,3,4,4,31.87,6592.7,259.8,160.1,67.7
Kalimantan Utara,Nunukan,2022,Bawang Merah,4.39,2,2,1,3.34,7270.4,265.0,99.1,70.9
DI Yogyakarta,Yogyakarta,2022,Tebu,6.1,4,3,2,42.37,71969.2,225.1,125.5,90.6
Papua Pegunungan,Lanny Jaya,2024,Padi,5.87,2,4,2,23.52,7093.5,252.4,108.7,96.8
Sumatera Selatan,Ogan Ilir,2023,Bawang Merah,4.46,3,1,4,5.1,8026.8,245.3,99.9,97.8
Nusa Tenggara Timur,Belu,2019,Padi,6.59,3,2,1,19.96,6295.3,241.1,121.7,98.7
Jawa Barat,Bandung,2021,Bawang Merah,5.84,5,2,1,4.92,9595.9,249.6,130.9,78.0
Kalimantan Utara,Bulungan,2025,Cabai Rawit,4.2,1,3,2,3.57,6092.8,238.9,129.7,79.4
Papua Tengah,Nabire,2023,Cabai Rawit,5.7,3,1,3,2.68,9115.5,260.2,111.4,74.4
Papua Tengah,Intan Jaya,2018,Jagung,5.62,5,2,1,14.83,5889.0,282.5,128.0,72.5
Jawa Tengah,Brebes,2024,Bawang Merah,5.94,2,4,2,4.3,11436.4,257.1,132.8,61.6
Papua Tengah,Paniai,2019,Tebu,5.21,3,3,3,58.05,64664.2,258.5,131.6,76.2
Sumatera Utara,Asahan,2023,Bawang Merah,6.04,1,2,2,5.44,12130.5,235.1,150.6,74.9
Maluku Utara,Halmahera Tengah,2018,Padi,5.87,3,3,2,16.89,6072.5,210.3,133.6,84.9
Nusa Tenggara Barat,Sumbawa,2021,Bawang Merah,6.22,4,2,3,4.11,12573.9,236.2,148.2,92.6
Papua Pegunungan,Wamena,2019,Bawang Merah,4.51,2,3,1,4.41,8494.2,247.0,117.1,82.7
Lampung,Lampung Tengah,2018,Bawang Merah,5.34,3,2,4,7.21,8371.3,255.6,151.3,75.7
Bali,Gianyar,2021,Jagung,5.43,1,2,2,39.23,6368.0,236.9,134.8,92.4
Sumatera Barat,Solok,2018,Cabai Rawit,5.95,2,4,2,16.0,10781.0,245.2,90.3,70.3
Kalimantan Selatan,Hulu Sungai Selatan,2018,Jagung,5.44,1,1,2,23.3,6379.6,261.3,117.8,69.9
Bali,Tabanan,2024,Jagung,6.2,3,3,3,7.14,8970.1,280.3,114.1,76.9
Sumatera Utara,Deli Serdang,2018,Padi,4.58,4,2,1,24.7,6401.9,263.1,128.2,79.7
Sumatera Utara,Serdang Bedagai,2023,Cabai Rawit,6.13,3,4,2,4.67,8078.8,245.6,115.9,93.6
Sulawesi Barat,Mamasa,2018,Jagung,5.92,3,2,2,11.14,8492.7,237.7,108.9,99.8
Nusa Tenggara Timur,Sikka,2025,Padi,5.65,3,5,2,9.38,5167.5,236.2,113.3,55.5
DI Yogyakarta,Yogyakarta,2022,Padi,6.29,4,3,2,18.44,4897.2,251.3,106.1,85.8
Papua Tengah,Nabire,2021,Bawang Merah,5.0,2,2,1,4.13,12582.7,252.4,127.2,78.9
Riau,Rokan Hilir,2025,Bawang Merah,4.84,3,1,2,3.59,9699.5,225.9,115.0,58.4
